Recipe_ID,Recipe_Name,Cuisine_Type,Ingredients_List,Preparation_Steps,Cooking_Time_Minutes,Difficulty_Level,User_ID,User_Preferences,User_Rating,User_Feedback,Date_Prepared,Season,Occasion,Serving_Size,Calories_Per_Serving,Allergen_Information,Cost_Per_Serving,Popularity_Score,Seasonal_Availability,Cluster,Silhouette
R1349,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,47,Hard,U723,Vegetarian,3,Feedback 1349,2024-09-25,Fall,Casual,1,604,Dairy,15.94,164,No,4,0.3526276916352105
R1350,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,83,Medium,U426,Gluten-Free,5,Feedback 1350,2024-05-20,Fall,Dinner,5,366,,10.62,282,No,0,0.31672464088708446
R1351,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,69,Medium,U944,Gluten-Free,5,Feedback 1351,2024-03-27,Summer,Dinner,5,238,,13.59,227,Yes,0,0.3040782524729184
R1352,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,86,Easy,U373,None,4,Feedback 1352,2024-03-30,Fall,Lunch,2,428,Gluten,6.45,250,No,1,0.2580485849551725
R1353,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,39,Hard,U332,Vegetarian,3,Feedback 1353,2024-02-07,Summer,Party,4,238,Dairy,11.28,160,Yes,4,0.2965377348882414
R1354,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,84,Easy,U576,Vegan,2,Feedback 1354,2024-05-11,Fall,Party,2,305,Soy,9.4,255,Yes,2,0.2839367677724654
R1355,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,77,Easy,U857,Vegan,5,Feedback 1355,2024-10-24,Winter,Lunch,6,555,Soy,14.66,206,No,2,0.3368639978480178
R1356,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,66,Medium,U297,None,5,Feedback 1356,2024-12-04,Fall,Casual,3,417,,7.55,453,Yes,3,0.27819341328070857
R1357,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,33,Medium,U385,Gluten-Free,5,Feedback 1357,2024-03-18,Spring,Dinner,3,218,,18.38,171,No,0,0.2402175569211055
R1358,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,45,Easy,U107,Vegan,3,Feedback 1358,2024-05-05,Fall,Lunch,4,263,Soy,16.06,284,Yes,2,0.32348516930855004
R1359,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,40,Medium,U670,Gluten-Free,3,Feedback 1359,2024-01-19,Summer,Casual,1,446,,16.19,305,Yes,0,0.36293864170452433
R1360,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,42,Easy,U124,None,4,Feedback 1360,2024-01-15,Winter,Dinner,2,478,Gluten,9.27,51,Yes,1,0.27239677750299307
R1361,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,66,Easy,U776,None,2,Feedback 1361,2024-11-26,Spring,Casual,2,724,Gluten,5.73,155,Yes,1,0.23786328850811053
R1362,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,82,Easy,U280,Vegan,4,Feedback 1362,2024-12-09,Spring,Lunch,4,319,Soy,13.95,385,No,2,0.29182294130115716
R1363,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,60,Medium,U853,Gluten-Free,4,Feedback 1363,2024-07-01,Fall,Dinner,4,312,,5.75,322,No,0,0.2903277111754975
R1364,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,60,Easy,U260,Vegan,2,Feedback 1364,2024-08-08,Fall,Dinner,1,561,Soy,16.35,308,No,2,0.36694081766032394
R1365,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,81,Easy,U653,Vegan,5,Feedback 1365,2024-09-18,Fall,Lunch,4,309,Soy,12.17,374,Yes,2,0.29568511101632383
R1366,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,21,Easy,U827,None,5,Feedback 1366,2024-07-05,Winter,Party,5,790,Gluten,15.95,53,Yes,1,0.19882388894065994
R1367,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,45,Easy,U998,None,3,Feedback 1367,2024-04-24,Fall,Party,5,476,Gluten,17.07,472,No,1,0.2841638063991294
R1368,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,52,Easy,U185,Vegan,4,Feedback 1368,2024-08-31,Fall,Lunch,6,258,Soy,17.03,366,No,2,0.30054074835233097
R1369,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,78,Hard,U916,Vegetarian,2,Feedback 1369,2024-04-15,Winter,Dinner,1,277,Dairy,8.05,224,No,4,0.2854523279943258
R1370,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,74,Hard,U176,Vegetarian,5,Feedback 1370,2024-12-09,Summer,Dinner,1,309,Dairy,10.21,210,No,4,0.32251501151735645
R1371,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,76,Medium,U754,Gluten-Free,2,Feedback 1371,2024-01-24,Winter,Dinner,3,349,,11.05,187,Yes,0,0.3204337300602656
R1372,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,52,Hard,U653,Vegetarian,5,Feedback 1372,2024-06-17,Spring,Dinner,4,341,Dairy,14.95,394,Yes,4,0.3337268834604925
R1373,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,88,Hard,U849,Vegetarian,4,Feedback 1373,2024-09-04,Spring,Lunch,4,486,Dairy,17.66,388,No,4,0.27187532937333303
R1374,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,59,Easy,U391,None,2,Feedback 1374,2024-03-01,Fall,Lunch,6,364,Gluten,5.39,480,Yes,1,0.2327354098354492
R1375,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,71,Easy,U801,None,5,Feedback 1375,2024-01-26,Winter,Party,6,213,Gluten,7.42,174,No,1,0.2418667959210929
R1376,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,77,Medium,U881,None,1,Feedback 1376,2024-10-29,Fall,Party,5,347,,15.03,488,No,3,0.250763967458721
R1377,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,63,Medium,U763,Gluten-Free,4,Feedback 1377,2024-11-05,Winter,Party,6,779,,7.05,87,Yes,0,0.24062361751904157
R1378,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,48,Medium,U635,None,5,Feedback 1378,2024-09-02,Spring,Dinner,3,763,,14.16,85,No,3,0.2600939703054392
R1379,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,90,Easy,U234,None,5,Feedback 1379,2024-05-25,Summer,Casual,1,221,Gluten,6.17,206,Yes,1,0.20445020474007372
R1380,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,69,Easy,U102,Vegan,4,Feedback 1380,2024-08-12,Winter,Party,3,645,Soy,15.9,353,Yes,2,0.32979946811026906
R1381,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,90,Hard,U991,Vegetarian,2,Feedback 1381,2024-02-11,Spring,Dinner,4,346,Dairy,13.51,339,Yes,4,0.28840679726590535
R1382,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,28,Easy,U391,None,4,Feedback 1382,2024-07-31,Fall,Casual,2,310,Gluten,11.86,276,No,1,0.31093103914390247
R1383,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,51,Easy,U692,Vegan,3,Feedback 1383,2024-12-13,Winter,Dinner,1,647,Soy,11.76,183,No,2,0.3510310174451844
R1384,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,90,Medium,U642,Gluten-Free,3,Feedback 1384,2024-04-07,Spring,Lunch,2,402,,7.09,416,Yes,0,0.25198874628510365
R1385,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,84,Medium,U523,None,2,Feedback 1385,2024-01-27,Summer,Party,2,284,,5.3,474,No,3,0.1959376575893204
R1386,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,71,Medium,U136,None,4,Feedback 1386,2024-02-22,Spring,Dinner,1,747,,13.95,66,No,3,0.24203144910664384
R1387,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,77,Medium,U336,None,2,Feedback 1387,2024-04-30,Fall,Casual,4,657,,12.05,275,No,3,0.3139946193891873
R1388,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,65,Hard,U117,Vegetarian,3,Feedback 1388,2024-07-01,Winter,Dinner,2,220,Dairy,6.67,60,No,4,0.22775316718774122
R1389,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,80,Hard,U163,Vegetarian,2,Feedback 1389,2024-03-20,Winter,Party,2,593,Dairy,19.53,179,No,4,0.27491799926298993
R1390,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,19,Hard,U662,Vegetarian,4,Feedback 1390,2024-03-14,Winter,Party,3,608,Dairy,15.4,434,Yes,4,0.26613792117115087
R1391,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,37,Easy,U712,None,3,Feedback 1391,2024-03-07,Winter,Lunch,4,771,Gluten,9.55,102,Yes,1,0.24341226192414156
R1392,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,38,Medium,U523,Gluten-Free,4,Feedback 1392,2024-01-15,Fall,Casual,5,248,,18.41,430,Yes,0,0.2512208984094813
R1393,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,58,Easy,U870,None,5,Feedback 1393,2024-01-29,Winter,Casual,2,391,Gluten,19.56,178,No,1,0.27902381471929943
R1394,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,38,Medium,U689,None,3,Feedback 1394,2024-02-19,Summer,Casual,2,663,,13.13,425,No,3,0.3067635107887893
R1395,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,90,Hard,U352,Vegetarian,3,Feedback 1395,2024-04-24,Fall,Casual,3,369,Dairy,9.48,132,No,4,0.26927996776988306
R1396,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,34,Easy,U695,None,3,Feedback 1396,2024-10-17,Spring,Lunch,1,268,Gluten,7.44,286,No,1,0.27379665405902914
R1397,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,81,Medium,U526,Gluten-Free,3,Feedback 1397,2024-09-09,Fall,Dinner,5,718,,12.97,291,No,0,0.3049223942415573
R1398,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,32,Easy,U838,None,1,Feedback 1398,2024-03-13,Spring,Lunch,3,608,Gluten,6.31,298,Yes,1,0.2828187053256746
R1399,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,67,Easy,U943,None,4,Feedback 1399,2024-11-26,Fall,Lunch,6,734,Gluten,12.69,104,Yes,1,0.2652419393051259
R1400,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,62,Easy,U421,None,4,Feedback 1400,2024-10-21,Fall,Party,5,346,Gluten,8.51,357,No,1,0.3126843451295039
R1401,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,48,Hard,U267,Vegetarian,1,Feedback 1401,2024-02-03,Winter,Party,3,388,Dairy,10.02,483,No,4,0.2933188639911888
R1402,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,59,Medium,U734,None,5,Feedback 1402,2024-02-04,Fall,Party,3,524,,18.92,484,Yes,3,0.2531917972684814
R1403,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,54,Medium,U175,Gluten-Free,5,Feedback 1403,2024-12-10,Spring,Party,5,319,,14.43,187,Yes,0,0.33853837314075275
R1404,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,80,Medium,U266,None,3,Feedback 1404,2024-04-13,Spring,Lunch,2,387,,19.68,396,Yes,3,0.23944722009230243
R1405,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,87,Easy,U319,Vegan,5,Feedback 1405,2024-12-09,Summer,Dinner,4,666,Soy,17.37,457,Yes,2,0.23813444836076375
R1406,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,40,Medium,U989,Gluten-Free,2,Feedback 1406,2024-09-06,Summer,Dinner,4,239,,18.98,370,No,0,0.25693323407649193
R1407,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,21,Hard,U374,Vegetarian,4,Feedback 1407,2024-02-21,Spring,Party,3,793,Dairy,10.03,249,No,4,0.2605158574967701
R1408,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,57,Hard,U306,Vegetarian,4,Feedback 1408,2024-12-19,Summer,Party,3,310,Dairy,8.15,395,No,4,0.3030119993536988
R1409,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,48,Medium,U983,None,3,Feedback 1409,2024-05-28,Winter,Casual,1,586,,14.05,343,No,3,0.36584481529240215
R1410,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,36,Medium,U314,Gluten-Free,2,Feedback 1410,2024-11-12,Summer,Dinner,4,698,,18.13,300,No,0,0.2990050032378297
R1411,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,40,Medium,U543,Gluten-Free,2,Feedback 1411,2024-03-09,Winter,Lunch,3,751,,12.31,479,No,0,0.27657793166467176
R1412,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,80,Easy,U948,Vegan,2,Feedback 1412,2024-03-07,Winter,Dinner,3,609,Soy,6.9,236,No,2,0.28007364301113424
R1413,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,48,Hard,U951,Vegetarian,1,Feedback 1413,2024-09-19,Winter,Dinner,1,287,Dairy,5.36,239,No,4,0.2765663353363951
R1414,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,47,Medium,U634,None,2,Feedback 1414,2024-05-19,Winter,Lunch,4,752,,14.84,52,No,3,0.2453573722487614
R1415,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,24,Easy,U996,Vegan,5,Feedback 1415,2024-01-10,Fall,Party,1,226,Soy,9.26,72,Yes,2,0.22624281874735055
R1416,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,29,Hard,U314,Vegetarian,5,Feedback 1416,2024-04-06,Spring,Party,4,637,Dairy,14.32,310,Yes,4,0.336391057710667
R1417,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,27,Hard,U393,Vegetarian,2,Feedback 1417,2024-04-02,Spring,Casual,3,424,Dairy,19.7,329,No,4,0.2738358372422429
R1418,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,27,Medium,U984,Gluten-Free,2,Feedback 1418,2024-04-02,Winter,Lunch,5,317,,18.88,425,Yes,0,0.2496851329743673
R1419,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,69,Hard,U584,Vegetarian,4,Feedback 1419,2024-02-19,Fall,Lunch,4,247,Dairy,7.33,355,Yes,4,0.2738615257751382
R1420,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,38,Easy,U659,Vegan,5,Feedback 1420,2024-12-16,Fall,Dinner,4,233,Soy,10.04,421,Yes,2,0.2752303790204302
R1421,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,48,Medium,U405,Gluten-Free,3,Feedback 1421,2024-09-28,Summer,Party,6,448,,17.59,218,No,0,0.34167192886203934
R1422,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,39,Medium,U538,Gluten-Free,1,Feedback 1422,2024-11-30,Spring,Casual,5,336,,19.77,126,Yes,0,0.248142842571891
R1423,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,39,Medium,U444,Gluten-Free,3,Feedback 1423,2024-11-24,Spring,Lunch,5,681,,7.73,224,No,0,0.31614444378913836
R1424,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,44,Medium,U815,None,3,Feedback 1424,2024-03-08,Summer,Dinner,4,660,,5.12,186,Yes,3,0.26468238732103483
R1425,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,33,Easy,U473,Vegan,3,Feedback 1425,2024-11-17,Spring,Casual,5,477,Soy,8.44,303,Yes,2,0.3394184152599858
R1426,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,74,Hard,U818,Vegetarian,5,Feedback 1426,2024-03-26,Summer,Dinner,4,367,Dairy,17.44,84,Yes,4,0.2743696162229565
R1427,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,80,Easy,U706,None,4,Feedback 1427,2024-07-26,Spring,Casual,1,402,Gluten,19.29,136,Yes,1,0.24051032308091222
R1428,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,81,Easy,U215,Vegan,4,Feedback 1428,2024-08-08,Summer,Dinner,2,539,Soy,7.88,417,No,2,0.276916074891508
R1429,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,75,Medium,U434,None,2,Feedback 1429,2024-06-23,Summer,Casual,5,650,,9.9,170,No,3,0.29479080953282555
R1430,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,53,Medium,U813,None,3,Feedback 1430,2024-03-20,Summer,Party,6,319,,9.02,193,No,3,0.3205614660852803
R1431,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,71,Medium,U405,None,5,Feedback 1431,2024-12-27,Fall,Party,3,475,,13.34,241,No,3,0.354956135423385
R1432,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,47,Easy,U729,Vegan,5,Feedback 1432,2024-06-24,Winter,Party,1,490,Soy,16.72,389,No,2,0.34550715832013323
R1433,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,56,Easy,U303,None,3,Feedback 1433,2024-08-12,Spring,Party,4,302,Gluten,12.63,233,Yes,1,0.337910217043712
R1434,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,83,Medium,U628,None,4,Feedback 1434,2024-03-29,Summer,Casual,6,749,,18.52,499,Yes,3,0.19138749056305274
R1435,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,28,Medium,U209,None,4,Feedback 1435,2024-09-16,Fall,Casual,5,607,,18.31,167,No,3,0.2725416317482552
R1436,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,48,Medium,U828,None,2,Feedback 1436,2024-07-03,Summer,Casual,5,662,,13.27,152,Yes,3,0.3276386697991964
R1437,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,86,Medium,U387,Gluten-Free,5,Feedback 1437,2024-07-18,Spring,Dinner,1,796,,11.69,422,Yes,0,0.2444869858813555
R1438,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,34,Hard,U481,Vegetarian,5,Feedback 1438,2024-12-06,Spring,Casual,3,297,Dairy,12.57,460,Yes,4,0.27392556348931674
R1439,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,20,Medium,U241,Gluten-Free,1,Feedback 1439,2024-06-30,Summer,Lunch,3,555,,19.66,68,Yes,0,0.21498799961362422
R1440,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,16,Hard,U426,Vegetarian,4,Feedback 1440,2024-04-28,Summer,Lunch,4,415,Dairy,17.97,280,Yes,4,0.2706192999718515
R1441,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,32,Medium,U893,None,5,Feedback 1441,2024-06-19,Winter,Lunch,1,254,,11.03,362,No,3,0.29184146580647524
R1442,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,47,Medium,U639,None,4,Feedback 1442,2024-03-15,Summer,Party,3,629,,17.84,386,No,3,0.3003620970389851
R1443,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,36,Medium,U995,None,3,Feedback 1443,2024-07-13,Winter,Lunch,5,750,,10.69,497,Yes,3,0.24050526606825598
R1444,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,80,Hard,U192,Vegetarian,5,Feedback 1444,2024-10-28,Spring,Casual,5,292,Dairy,15.83,173,Yes,4,0.2877403715996272
R1445,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,40,Medium,U104,Gluten-Free,1,Feedback 1445,2024-08-07,Fall,Lunch,1,587,,18.38,428,Yes,0,0.29659470415408645
R1446,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,60,Medium,U445,None,3,Feedback 1446,2024-01-30,Fall,Dinner,3,727,,18.21,418,Yes,3,0.2557492990992013
